,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
51,India,Sri Lanka,Sri Lanka,6 wickets,Harare,"Jun 5, 2010",ODI # 2988
52,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,"Jun 7, 2010",ODI # 2989
53,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Jun 9, 2010",ODI # 2990
54,Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,"Jun 15, 2010",ODI # 2991
55,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,"Jun 15, 2010",ODI # 2992
56,Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010",ODI # 2993
57,Ireland,Australia,Australia,39 runs,Dublin,"Jun 17, 2010",ODI # 2994
58,Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,"Jun 18, 2010",ODI # 2995
59,India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010",ODI # 2996
60,Scotland,England,England,7 wickets,Edinburgh,"Jun 19, 2010",ODI # 2997
61,Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,"Jun 21, 2010",ODI # 2998
62,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010",ODI # 2999
63,England,Australia,England,4 wickets,Southampton,"Jun 22, 2010",ODI # 3000
64,Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010",ODI # 3001
65,England,Australia,England,4 wickets,Cardiff,"Jun 24, 2010",ODI # 3002
66,England,Australia,England,1 wicket,Manchester,"Jun 27, 2010",ODI # 3003
67,England,Australia,Australia,78 runs,The Oval,"Jun 30, 2010",ODI # 3004
68,Afghanistan,Canada,Afghanistan,6 wickets,The Hague,"Jul 1, 2010",ODI # 3005
69,Ireland,Kenya,Ireland,7 wickets,Rotterdam,"Jul 1, 2010",ODI # 3006
70,Netherlands,Scotland,Scotland,1 wicket,Amstelveen,"Jul 1, 2010",ODI # 3007
71,Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010",ODI # 3008
72,Canada,Scotland,Scotland,69 runs,Amstelveen,"Jul 3, 2010",ODI # 3009
73,Netherlands,Kenya,Netherlands,117 runs,The Hague,"Jul 3, 2010",ODI # 3010
74,England,Australia,Australia,42 runs,Lord's,"Jul 3, 2010",ODI # 3011
75,Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,"Jul 5, 2010",ODI # 3012
76,Ireland,Scotland,Ireland,5 wickets,The Hague,"Jul 5, 2010",ODI # 3013
77,Netherlands,Canada,Netherlands,7 wickets,Rotterdam,"Jul 5, 2010",ODI # 3014
78,Canada,Ireland,Ireland,5 wickets,Amstelveen,"Jul 7, 2010",ODI # 3015
79,Kenya,Scotland,Scotland,6 runs,Rotterdam,"Jul 7, 2010",ODI # 3016
80,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,"Jul 7, 2010",ODI # 3017
81,England,Bangladesh,England,6 wickets,Nottingham,"Jul 8, 2010",ODI # 3018
82,Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,"Jul 9, 2010",ODI # 3019
83,Canada,Kenya,Canada,6 wickets,Schiedam,"Jul 9, 2010",ODI # 3020
84,Netherlands,Ireland,Ireland,39 runs,Amstelveen,"Jul 9, 2010",ODI # 3021
85,Canada,Kenya,Canada,3 wickets,Schiedam,"Jul 10, 2010",ODI # 3022
86,Ireland,Scotland,Ireland,6 wickets,Amstelveen,"Jul 10, 2010",ODI # 3023
87,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,"Jul 10, 2010",ODI # 3024
88,England,Bangladesh,Bangladesh,5 runs,Bristol,"Jul 10, 2010",ODI # 3025
89,England,Bangladesh,England,144 runs,Birmingham,"Jul 12, 2010",ODI # 3026
90,Ireland,Bangladesh,Ireland,7 wickets,Belfast,"Jul 15, 2010",ODI # 3027
91,Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,"Jul 16, 2010",ODI # 3028
92,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,"Jul 20, 2010",ODI # 3029
93,India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010",ODI # 3030
94,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,"Aug 13, 2010",ODI # 3031
95,Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010",ODI # 3032
96,Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,"Aug 16, 2010",ODI # 3033
97,Ireland,Netherlands,Ireland,70 runs,Dublin,"Aug 16, 2010",ODI # 3034
98,Scotland,Afghanistan,Scotland,6 wickets,Ayr,"Aug 17, 2010",ODI # 3035
99,Ireland,Netherlands,Ireland,9 wickets,Dublin,"Aug 18, 2010",ODI # 3036
100,Sri Lanka,New Zealand,no result,,Dambulla,"Aug 19-20, 2010",ODI # 3037
101,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 22, 2010",ODI # 3038
102,India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010",ODI # 3039
103,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,"Aug 28, 2010",ODI # 3040
104,Canada,Ireland,Canada,4 runs,Toronto,"Sep 6, 2010",ODI # 3041
105,Canada,Ireland,Ireland,92 runs,Toronto,"Sep 7, 2010",ODI # 3042
106,England,Pakistan,England,24 runs,Chester-le-Street,"Sep 10, 2010",ODI # 3043
107,England,Pakistan,England,4 wickets,Leeds,"Sep 12, 2010",ODI # 3044
108,England,Pakistan,Pakistan,23 runs,The Oval,"Sep 17, 2010",ODI # 3045
109,England,Pakistan,Pakistan,38 runs,Lord's,"Sep 20, 2010",ODI # 3046
110,England,Pakistan,England,121 runs,Southampton,"Sep 22, 2010",ODI # 3047
111,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Sep 26, 2010",ODI # 3048
112,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Sep 28, 2010",ODI # 3049
113,Zimbabwe,Ireland,Ireland,20 runs,Harare,"Sep 30, 2010",ODI # 3050
114,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 5, 2010",ODI # 3051
115,Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),"Oct 7, 2010",ODI # 3052
116,Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),"Oct 9, 2010",ODI # 3053
117,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,"Oct 11, 2010",ODI # 3054
118,Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),"Oct 11, 2010",ODI # 3055
119,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 14, 2010",ODI # 3056
120,South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,"Oct 15, 2010",ODI # 3057
121,Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,"Oct 17, 2010",ODI # 3058
122,South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,"Oct 17, 2010",ODI # 3059
123,India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060
124,South Africa,Zimbabwe,South Africa,272 runs,Benoni,"Oct 22, 2010",ODI # 3061
125,Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,"Oct 29, 2010",ODI # 3062
126,Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,"Oct 31, 2010",ODI # 3063
127,Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),"Nov 2, 2010",ODI # 3064
128,Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,"Nov 3, 2010",ODI # 3065
129,Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,"Nov 5, 2010",ODI # 3066
130,Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),"Nov 5, 2010",ODI # 3067
131,Australia,Sri Lanka,Australia,8 wickets,Brisbane,"Nov 7, 2010",ODI # 3068
132,Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),"Nov 8, 2010",ODI # 3069
133,India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010",ODI # 3070
134,Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,"Dec 1, 2010",ODI # 3071
135,India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010",ODI # 3072
136,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Dec 3, 2010",ODI # 3073
137,India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010",ODI # 3074
138,Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka,"Dec 6, 2010",ODI # 3075
139,India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010",ODI # 3076
140,India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010",ODI # 3077
141,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong,"Dec 12, 2010",ODI # 3078
