Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3315,India,Pakistan,Pakistan,85 runs,Kolkata,"Jan 3, 2013"
ODI # 3316,India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013"
ODI # 3317,Australia,Sri Lanka,Australia,107 runs,Melbourne,"Jan 11, 2013"
ODI # 3318,India,England,England,9 runs,Rajkot,"Jan 11, 2013"
ODI # 3319,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Jan 13, 2013"
ODI # 3320,India,England,India,127 runs,Kochi,"Jan 15, 2013"
ODI # 3321,Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,"Jan 18, 2013"
ODI # 3322,India,England,India,7 wickets,Ranchi,"Jan 19, 2013"
ODI # 3323,South Africa,New Zealand,New Zealand,1 wicket,Paarl,"Jan 19, 2013"
ODI # 3324,Australia,Sri Lanka,no result,,Sydney,"Jan 20, 2013"
ODI # 3325,South Africa,New Zealand,New Zealand,27 runs,Kimberley,"Jan 22, 2013"
ODI # 3326,Australia,Sri Lanka,Australia,32 runs,Hobart,"Jan 23, 2013"
ODI # 3327,India,England,India,5 wickets,Mohali,"Jan 23, 2013"
ODI # 3328,South Africa,New Zealand,South Africa,1 wicket,Potchefstroom,"Jan 25, 2013"
ODI # 3329,India,England,England,7 wickets,Dharamsala,"Jan 27, 2013"
ODI # 3330,Australia,West Indies,Australia,9 wickets,Perth,"Feb 1, 2013"
ODI # 3331,Australia,West Indies,Australia,54 runs,Perth,"Feb 3, 2013"
ODI # 3332,Australia,West Indies,Australia,39 runs,Canberra,"Feb 6, 2013"
ODI # 3333,Australia,West Indies,Australia,5 wickets,Sydney,"Feb 8, 2013"
ODI # 3334,Australia,West Indies,Australia,17 runs,Melbourne,"Feb 10, 2013"
ODI # 3335,New Zealand,England,New Zealand,3 wickets,Hamilton,"Feb 17, 2013"
ODI # 3336,New Zealand,England,England,8 wickets,Napier,"Feb 20, 2013"
ODI # 3337,West Indies,Zimbabwe,West Indies,156 runs,St George's,"Feb 22, 2013"
ODI # 3338,New Zealand,England,England,5 wickets,Auckland,"Feb 23, 2013"
ODI # 3339,West Indies,Zimbabwe,West Indies,7 wickets,St George's,"Feb 24, 2013"
ODI # 3340,West Indies,Zimbabwe,West Indies,5 wickets,St George's,"Feb 26, 2013"
ODI # 3341,Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,"Mar 6, 2013"
ODI # 3342,Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah,"Mar 8, 2013"
ODI # 3343,South Africa,Pakistan,South Africa,125 runs,Bloemfontein,"Mar 10, 2013"
ODI # 3344,Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 11, 2013"
ODI # 3345,Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 13, 2013"
ODI # 3346,South Africa,Pakistan,Pakistan,6 wickets,Centurion,"Mar 15, 2013"
ODI # 3347,South Africa,Pakistan,South Africa,34 runs,Johannesburg,"Mar 17, 2013"
ODI # 3348,South Africa,Pakistan,Pakistan,3 wickets,Durban,"Mar 21, 2013"
ODI # 3349,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,"Mar 23, 2013"
ODI # 3350,South Africa,Pakistan,South Africa,6 wickets,Benoni,"Mar 24, 2013"
ODI # 3351,Sri Lanka,Bangladesh,no result,,Hambantota,"Mar 25, 2013"
ODI # 3352,Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,"Mar 28, 2013"
ODI # 3353,Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,"May 3, 2013"
ODI # 3354,Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,"May 5, 2013"
ODI # 3355,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,"May 8, 2013"
ODI # 3356,Scotland,Pakistan,Pakistan,96 runs,Edinburgh,"May 17, 2013"
ODI # 3357,Ireland,Pakistan,tied,,Dublin,"May 23, 2013"
ODI # 3358,Ireland,Pakistan,Pakistan,2 wickets,Dublin,"May 26, 2013"
ODI # 3359,Netherlands,South Africa,South Africa,83 runs,Amstelveen,"May 31, 2013"
ODI # 3360,England,New Zealand,New Zealand,5 wickets,Lord's,"May 31, 2013"
ODI # 3361,England,New Zealand,New Zealand,86 runs,Southampton,"Jun 2, 2013"
ODI # 3362,England,New Zealand,England,34 runs,Nottingham,"Jun 5, 2013"
ODI # 3363,India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013"
ODI # 3364,Pakistan,West Indies,West Indies,2 wickets,The Oval,"Jun 7, 2013"
ODI # 3365,England,Australia,England,48 runs,Birmingham,"Jun 8, 2013"
ODI # 3366,New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff,"Jun 9, 2013"
ODI # 3367,Pakistan,South Africa,South Africa,67 runs,Birmingham,"Jun 10, 2013"
ODI # 3368,India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013"
ODI # 3369,Australia,New Zealand,no result,,Birmingham,"Jun 12, 2013"
ODI # 3370,England,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 13, 2013"
ODI # 3371,South Africa,West Indies,tied,,Cardiff,"Jun 14, 2013"
ODI # 3372,India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013"
ODI # 3373,England,New Zealand,England,10 runs,Cardiff,"Jun 16, 2013"
ODI # 3374,Australia,Sri Lanka,Sri Lanka,20 runs,The Oval,"Jun 17, 2013"
ODI # 3375,England,South Africa,England,7 wickets,The Oval,"Jun 19, 2013"
ODI # 3376,India,Sri Lanka,India,8 wickets,Cardiff,"Jun 20, 2013"
ODI # 3377,England,India,India,5 runs,Birmingham,"Jun 23, 2013"
ODI # 3378,West Indies,Sri Lanka,West Indies,6 wickets,Kingston,"Jun 28, 2013"
ODI # 3379,Scotland,Kenya,Scotland,12 runs,Aberdeen,"Jun 30, 2013"
ODI # 3380,West Indies,India,West Indies,1 wicket,Kingston,"Jun 30, 2013"
ODI # 3381,Scotland,Kenya,Scotland,4 wickets,Aberdeen,"Jul 2-3, 2013"
ODI # 3382,India,Sri Lanka,Sri Lanka,161 runs,Kingston,"Jul 2, 2013"
ODI # 3383,West Indies,India,India,102 runs,Port of Spain,"Jul 5, 2013"
ODI # 3384,Netherlands,Ireland,Ireland,88 runs,Amstelveen,"Jul 7, 2013"
ODI # 3385,West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain,"Jul 7-8, 2013"
ODI # 3386,Netherlands,Ireland,tied,,Amstelveen,"Jul 9, 2013"
ODI # 3387,India,Sri Lanka,India,81 runs,Port of Spain,"Jul 9, 2013"
ODI # 3388,India,Sri Lanka,India,1 wicket,Port of Spain,"Jul 11, 2013"
ODI # 3389,West Indies,Pakistan,Pakistan,126 runs,Providence,"Jul 14, 2013"
ODI # 3390,West Indies,Pakistan,West Indies,37 runs,Providence,"Jul 16, 2013"
ODI # 3391,West Indies,Pakistan,tied,,Gros Islet,"Jul 19, 2013"
ODI # 3392,Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS),"Jul 20, 2013"
ODI # 3393,West Indies,Pakistan,Pakistan,6 wickets,Gros Islet,"Jul 21, 2013"
ODI # 3394,Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS),"Jul 23, 2013"
