Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3718,New Zealand,Sri Lanka,no result,,Nelson,"Jan 2, 2016"
ODI # 3719,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,"Jan 2, 2016"
ODI # 3720,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,"Jan 4, 2016"
ODI # 3721,New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,"Jan 5, 2016"
ODI # 3722,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,"Jan 6, 2016"
ODI # 3723,Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016"
ODI # 3724,Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016"
ODI # 3725,Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016"
ODI # 3726,Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016"
ODI # 3727,Australia,India,India,6 wickets,Sydney,"Jan 23, 2016"
ODI # 3728,New Zealand,Pakistan,New Zealand,70 runs,Wellington,"Jan 25, 2016"
ODI # 3729,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,"Jan 26, 2016"
ODI # 3730,New Zealand,Pakistan,New Zealand,3 wickets,Auckland,"Jan 31, 2016"
ODI # 3731,New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016"
ODI # 3732,South Africa,England,England,39 runs,Bloemfontein,"Feb 3, 2016"
ODI # 3733,New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016"
ODI # 3734,South Africa,England,England,5 wickets,Port Elizabeth,"Feb 6, 2016"
ODI # 3735,New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016"
ODI # 3736,South Africa,England,South Africa,7 wickets,Centurion,"Feb 9, 2016"
ODI # 3737,South Africa,England,South Africa,1 wicket,Johannesburg,"Feb 12, 2016"
ODI # 3738,South Africa,England,South Africa,5 wickets,Cape Town,"Feb 14, 2016"
ODI # 3739,West Indies,South Africa,West Indies,4 wickets,Providence,"Jun 3, 2016"
ODI # 3740,West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016"
ODI # 3741,Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016"
ODI # 3742,Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016"
ODI # 3743,Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016"
ODI # 3744,Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016"
ODI # 3745,West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016"
ODI # 3746,Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016"
ODI # 3747,West Indies,South Africa,South Africa,139 runs,Basseterre,"Jun 15, 2016"
ODI # 3748,Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),"Jun 16, 2016"
ODI # 3749,Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),"Jun 18, 2016"
ODI # 3750,Australia,South Africa,no result,,Bridgetown,"Jun 19, 2016"
ODI # 3751,England,Sri Lanka,tied,,Nottingham,"Jun 21, 2016"
ODI # 3752,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016"
ODI # 3753,England,Sri Lanka,England,10 wickets,Birmingham,"Jun 24, 2016"
ODI # 3754,West Indies,South Africa,West Indies,100 runs,Bridgetown,"Jun 24, 2016"
ODI # 3755,England,Sri Lanka,no result,,Bristol,"Jun 26, 2016"
ODI # 3756,West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016"
ODI # 3757,England,Sri Lanka,England,6 wickets,The Oval,"Jun 29, 2016"
ODI # 3758,England,Sri Lanka,England,122 runs,Cardiff,"Jul 2, 2016"
ODI # 3759,Scotland,Afghanistan,no result,,Edinburgh,"Jul 4, 2016"
ODI # 3760,Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,"Jul 6, 2016"
ODI # 3761,Ireland,Afghanistan,Afghanistan,39 runs,Belfast,"Jul 12, 2016"
ODI # 3762,Ireland,Afghanistan,Ireland,6 wickets,Belfast,"Jul 14, 2016"
ODI # 3763,Ireland,Afghanistan,Afghanistan,79 runs,Belfast,"Jul 17, 2016"
ODI # 3764,Ireland,Afghanistan,Ireland,12 runs,Belfast,"Jul 19, 2016"
ODI # 3765,Scotland,U.A.E.,Scotland,98 runs,Edinburgh,"Aug 14, 2016"
ODI # 3766,Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,"Aug 16, 2016"
ODI # 3767,Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),"Aug 18, 2016"
ODI # 3768,Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),"Aug 21, 2016"
ODI # 3769,Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),"Aug 24, 2016"
ODI # 3770,England,Pakistan,England,44 runs,Southampton,"Aug 24, 2016"
ODI # 3771,England,Pakistan,England,4 wickets,Lord's,"Aug 27, 2016"
ODI # 3772,Sri Lanka,Australia,Australia,2 wickets,Dambulla,"Aug 28, 2016"
ODI # 3773,England,Pakistan,England,169 runs,Nottingham,"Aug 30, 2016"
ODI # 3774,Sri Lanka,Australia,Australia,6 wickets,Dambulla,"Aug 31, 2016"
ODI # 3775,England,Pakistan,England,4 wickets,Leeds,"Sep 1, 2016"
ODI # 3776,Sri Lanka,Australia,Australia,5 wickets,Pallekele,"Sep 4, 2016"
ODI # 3777,England,Pakistan,Pakistan,4 wickets,Cardiff,"Sep 4, 2016"
ODI # 3778,Scotland,Hong Kong,no result,,Edinburgh,"Sep 8, 2016"
ODI # 3779,Scotland,Hong Kong,Scotland,53 runs,Edinburgh,"Sep 10, 2016"
ODI # 3780,South Africa,Ireland,South Africa,206 runs,Benoni,"Sep 25, 2016"
ODI # 3781,Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka,"Sep 25, 2016"
ODI # 3782,Australia,Ireland,Australia,9 wickets,Benoni,"Sep 27, 2016"
ODI # 3783,Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka,"Sep 28, 2016"
