Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3079,South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011"
ODI # 3080,South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011"
ODI # 3081,Australia,England,Australia,6 wickets,Melbourne,"Jan 16, 2011"
ODI # 3082,South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011"
ODI # 3083,Australia,England,Australia,46 runs,Hobart,"Jan 21, 2011"
ODI # 3084,South Africa,India,South Africa,48 runs,Port Elizabeth,"Jan 21, 2011"
ODI # 3085,New Zealand,Pakistan,New Zealand,9 wickets,Wellington,"Jan 22, 2011"
ODI # 3086,Australia,England,Australia,4 wickets,Sydney,"Jan 23, 2011"
ODI # 3087,South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011"
ODI # 3088,New Zealand,Pakistan,no result,,Queenstown,"Jan 26, 2011"
ODI # 3089,Australia,England,England,21 runs,Adelaide,"Jan 26, 2011"
ODI # 3090,New Zealand,Pakistan,Pakistan,43 runs,Christchurch,"Jan 29, 2011"
ODI # 3091,Australia,England,Australia,51 runs,Brisbane,"Jan 30, 2011"
ODI # 3092,Sri Lanka,West Indies,no result,,Colombo (SSC),"Jan 31, 2011"
ODI # 3093,New Zealand,Pakistan,Pakistan,2 wickets,Napier,"Feb 1, 2011"
ODI # 3094,Australia,England,Australia,2 wickets,Sydney,"Feb 2, 2011"
ODI # 3095,New Zealand,Pakistan,Pakistan,41 runs,Hamilton,"Feb 3, 2011"
ODI # 3096,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),"Feb 3, 2011"
ODI # 3097,New Zealand,Pakistan,New Zealand,57 runs,Auckland,"Feb 5, 2011"
ODI # 3098,Australia,England,Australia,57 runs,Perth,"Feb 6, 2011"
ODI # 3099,Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),"Feb 6, 2011"
ODI # 3100,Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011"
ODI # 3101,Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011"
ODI # 3102,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011"
ODI # 3103,Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011"
ODI # 3104,England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011"
ODI # 3105,Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011"
ODI # 3106,South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011"
ODI # 3107,Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011"
ODI # 3108,Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011"
ODI # 3109,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011"
ODI # 3110,India,England,tied,,Bengaluru,"Feb 27, 2011"
ODI # 3111,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011"
ODI # 3112,Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011"
ODI # 3113,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011"
ODI # 3114,England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011"
ODI # 3115,Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011"
ODI # 3116,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011"
ODI # 3117,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011"
ODI # 3118,Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011"
ODI # 3119,Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011"
ODI # 3120,England,South Africa,England,6 runs,Chennai,"Mar 6, 2011"
ODI # 3121,India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011"
ODI # 3122,Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011"
ODI # 3123,New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011"
ODI # 3124,India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011"
ODI # 3125,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011"
ODI # 3126,Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011"
ODI # 3127,Bangladesh,England,Bangladesh,2 wickets,Chittagong,"Mar 11, 2011"
ODI # 3128,India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011"
ODI # 3129,Canada,New Zealand,New Zealand,97 runs,Mumbai,"Mar 13, 2011"
ODI # 3130,Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011"
ODI # 3131,Bangladesh,Netherlands,Bangladesh,6 wickets,Chittagong,"Mar 14, 2011"
ODI # 3132,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,"Mar 14, 2011"
